Namespace(config='config/covertype.yml', model_name='MLP', dataset='Covertype', objective='classification', use_gpu=True, gpu_ids=[0, 1], data_parallel=False, optimize_hyperparameters=False, n_trials=5, direction='minimize', num_splits=5, shuffle=True, seed=221, scale=True, target_encode=True, one_hot_encode=False, batch_size=16384, val_batch_size=16384, early_stopping_rounds=400, epochs=400, logging_period=100, num_features=54, num_classes=7, cat_idx=None, cat_dims=None)
Train model with given hyperparameters
Loading dataset Covertype...
Dataset loaded!
(581012, 54)
Epoch 53, Val Loss: 1.54929
Epoch 54, Val Loss: 1.54858
Epoch 55, Val Loss: 1.54898
Epoch 56, Val Loss: 1.54823
Epoch 57, Val Loss: 1.54874
Epoch 58, Val Loss: 1.54793
Epoch 59, Val Loss: 1.54852
Epoch 60, Val Loss: 1.54759
Epoch 61, Val Loss: 1.54817
Epoch 62, Val Loss: 1.54728
Epoch 63, Val Loss: 1.54787
Epoch 64, Val Loss: 1.54699
Epoch 65, Val Loss: 1.54749
Epoch 66, Val Loss: 1.54667
Epoch 67, Val Loss: 1.54680
Epoch 68, Val Loss: 1.54637
Epoch 69, Val Loss: 1.54626
Epoch 70, Val Loss: 1.54606
Epoch 71, Val Loss: 1.54593
Epoch 72, Val Loss: 1.54576
Epoch 73, Val Loss: 1.54553
Epoch 74, Val Loss: 1.54542
Epoch 75, Val Loss: 1.54512
Epoch 76, Val Loss: 1.54490
Epoch 77, Val Loss: 1.54493
Epoch 78, Val Loss: 1.54456
Epoch 79, Val Loss: 1.54459
Epoch 80, Val Loss: 1.54455
Epoch 81, Val Loss: 1.54459
Epoch 82, Val Loss: 1.54440
Epoch 83, Val Loss: 1.54445
Epoch 84, Val Loss: 1.54442
Epoch 85, Val Loss: 1.54472
Epoch 86, Val Loss: 1.54455
Epoch 87, Val Loss: 1.54492
Epoch 88, Val Loss: 1.54537
Epoch 89, Val Loss: 1.54542
Epoch 90, Val Loss: 1.54532
Epoch 91, Val Loss: 1.54439
Epoch 92, Val Loss: 1.54546
Epoch 93, Val Loss: 1.54554
Epoch 94, Val Loss: 1.54343
Epoch 95, Val Loss: 1.54190
Epoch 96, Val Loss: 1.54319
Epoch 97, Val Loss: 1.54354
Epoch 98, Val Loss: 1.54293
Epoch 99, Val Loss: 1.54408
Epoch 100, Val Loss: 1.54171
Epoch 101, Val Loss: 1.54044
Epoch 102, Val Loss: 1.54248
Epoch 103, Val Loss: 1.54328
Epoch 104, Val Loss: 1.54184
Epoch 105, Val Loss: 1.54226
Epoch 106, Val Loss: 1.54315
Epoch 107, Val Loss: 1.54041
Epoch 108, Val Loss: 1.53987
Epoch 109, Val Loss: 1.54102
Epoch 110, Val Loss: 1.54229
Epoch 111, Val Loss: 1.54202
Epoch 112, Val Loss: 1.54104
Epoch 113, Val Loss: 1.54080
Epoch 114, Val Loss: 1.54217
Epoch 115, Val Loss: 1.53981
Epoch 116, Val Loss: 1.53957
Epoch 117, Val Loss: 1.54175
Epoch 118, Val Loss: 1.53974
Epoch 119, Val Loss: 1.53858
Epoch 120, Val Loss: 1.54120
Epoch 121, Val Loss: 1.54005
Epoch 122, Val Loss: 1.53981
Epoch 123, Val Loss: 1.54198
Epoch 124, Val Loss: 1.54003
Epoch 125, Val Loss: 1.53819
Epoch 126, Val Loss: 1.54025
Epoch 127, Val Loss: 1.54318
Epoch 128, Val Loss: 1.54147
Epoch 129, Val Loss: 1.54218
Epoch 130, Val Loss: 1.53845
Epoch 131, Val Loss: 1.53842
Epoch 132, Val Loss: 1.53776
Epoch 133, Val Loss: 1.54098
Epoch 134, Val Loss: 1.54041
Epoch 135, Val Loss: 1.53918
Epoch 136, Val Loss: 1.53835
Epoch 137, Val Loss: 1.53956
Epoch 138, Val Loss: 1.53805
Epoch 139, Val Loss: 1.54040
Epoch 140, Val Loss: 1.53701
Epoch 141, Val Loss: 1.53708
Epoch 142, Val Loss: 1.53640
Epoch 143, Val Loss: 1.53744
Epoch 144, Val Loss: 1.53544
Epoch 145, Val Loss: 1.53773
Epoch 146, Val Loss: 1.53546
Epoch 147, Val Loss: 1.53609
Epoch 148, Val Loss: 1.53666
Epoch 149, Val Loss: 1.53648
Epoch 150, Val Loss: 1.53820
Epoch 151, Val Loss: 1.53917
Epoch 152, Val Loss: 1.53889
Epoch 153, Val Loss: 1.53839
Epoch 154, Val Loss: 1.53773
Epoch 155, Val Loss: 1.53733
Epoch 156, Val Loss: 1.53503
Epoch 157, Val Loss: 1.53492
Epoch 158, Val Loss: 1.53776
Epoch 159, Val Loss: 1.53905
Epoch 160, Val Loss: 1.53782
Epoch 161, Val Loss: 1.53918
Epoch 162, Val Loss: 1.53466
Epoch 163, Val Loss: 1.53431
Epoch 164, Val Loss: 1.53390
Epoch 165, Val Loss: 1.53484
Epoch 166, Val Loss: 1.53738
Epoch 167, Val Loss: 1.53923
Epoch 168, Val Loss: 1.53547
Epoch 169, Val Loss: 1.53886
Epoch 170, Val Loss: 1.53275
Epoch 171, Val Loss: 1.53325
Epoch 172, Val Loss: 1.53559
Epoch 173, Val Loss: 1.53785
Epoch 174, Val Loss: 1.53469
Epoch 175, Val Loss: 1.53845
Epoch 176, Val Loss: 1.53252
Epoch 177, Val Loss: 1.53373
Epoch 178, Val Loss: 1.53449
Epoch 179, Val Loss: 1.53728
Epoch 180, Val Loss: 1.53250
Epoch 181, Val Loss: 1.53477
Epoch 182, Val Loss: 1.53233
Epoch 183, Val Loss: 1.53495
Epoch 184, Val Loss: 1.53244
Epoch 185, Val Loss: 1.53488
Epoch 186, Val Loss: 1.53305
Epoch 187, Val Loss: 1.53459
Epoch 188, Val Loss: 1.53237
Epoch 189, Val Loss: 1.53376
Epoch 190, Val Loss: 1.53169
Epoch 191, Val Loss: 1.53328
Epoch 192, Val Loss: 1.53286
Epoch 193, Val Loss: 1.53424
Epoch 194, Val Loss: 1.53300
Epoch 195, Val Loss: 1.53377
Epoch 196, Val Loss: 1.53055
Epoch 197, Val Loss: 1.53137
Epoch 198, Val Loss: 1.53117
Epoch 199, Val Loss: 1.53478
Epoch 200, Val Loss: 1.53143
Epoch 201, Val Loss: 1.53458
Epoch 202, Val Loss: 1.53062
Epoch 203, Val Loss: 1.53093
Epoch 204, Val Loss: 1.52926
Epoch 205, Val Loss: 1.52885
Epoch 206, Val Loss: 1.53110
Epoch 207, Val Loss: 1.53160
Epoch 208, Val Loss: 1.52881
Epoch 209, Val Loss: 1.53287
Epoch 210, Val Loss: 1.53119
Epoch 211, Val Loss: 1.53513
Epoch 212, Val Loss: 1.53183
Epoch 213, Val Loss: 1.53385
Epoch 214, Val Loss: 1.52959
Epoch 215, Val Loss: 1.52978
Epoch 216, Val Loss: 1.53534
Epoch 217, Val Loss: 1.53036
Epoch 218, Val Loss: 1.53422
Epoch 219, Val Loss: 1.52904
Epoch 220, Val Loss: 1.52883
Epoch 221, Val Loss: 1.53187
Epoch 222, Val Loss: 1.52811
Epoch 223, Val Loss: 1.52919
Epoch 224, Val Loss: 1.53237
Epoch 225, Val Loss: 1.53126
Epoch 226, Val Loss: 1.53182
Epoch 227, Val Loss: 1.53468
Epoch 228, Val Loss: 1.53408
Epoch 229, Val Loss: 1.53348
Epoch 230, Val Loss: 1.52743
Epoch 231, Val Loss: 1.53139
Epoch 232, Val Loss: 1.52644
Epoch 233, Val Loss: 1.52833
Epoch 234, Val Loss: 1.52736
Epoch 235, Val Loss: 1.52669
Epoch 236, Val Loss: 1.53182
Epoch 237, Val Loss: 1.52972
Epoch 238, Val Loss: 1.53112
Epoch 239, Val Loss: 1.52999
Epoch 240, Val Loss: 1.52868
Epoch 241, Val Loss: 1.53083
Epoch 242, Val Loss: 1.52690
Epoch 243, Val Loss: 1.53121
Epoch 244, Val Loss: 1.52611
Epoch 245, Val Loss: 1.53110
Epoch 246, Val Loss: 1.52635
Epoch 247, Val Loss: 1.52710
Epoch 248, Val Loss: 1.53313
Epoch 249, Val Loss: 1.53166
Epoch 250, Val Loss: 1.53604
Epoch 251, Val Loss: 1.52715
Epoch 252, Val Loss: 1.53039
Epoch 253, Val Loss: 1.52576
Epoch 254, Val Loss: 1.52756
Epoch 255, Val Loss: 1.52733
Epoch 256, Val Loss: 1.52651
Epoch 257, Val Loss: 1.53154
Epoch 258, Val Loss: 1.52832
Epoch 259, Val Loss: 1.53169
Epoch 260, Val Loss: 1.52540
Epoch 261, Val Loss: 1.52653
Epoch 262, Val Loss: 1.52414
Epoch 263, Val Loss: 1.52433
Epoch 264, Val Loss: 1.52721
Epoch 265, Val Loss: 1.52540
Epoch 266, Val Loss: 1.53006
Epoch 267, Val Loss: 1.52581
Epoch 268, Val Loss: 1.52756
Epoch 269, Val Loss: 1.52344
Epoch 270, Val Loss: 1.52427
Epoch 271, Val Loss: 1.52600
Epoch 272, Val Loss: 1.52477
Epoch 273, Val Loss: 1.52875
Epoch 274, Val Loss: 1.52492
Epoch 275, Val Loss: 1.52717
Epoch 276, Val Loss: 1.52282
Epoch 277, Val Loss: 1.52379
Epoch 278, Val Loss: 1.52389
Epoch 279, Val Loss: 1.52528
Epoch 280, Val Loss: 1.52713
Epoch 281, Val Loss: 1.52404
Epoch 282, Val Loss: 1.52793
Epoch 283, Val Loss: 1.52273
Epoch 284, Val Loss: 1.52508
Epoch 285, Val Loss: 1.52221
Epoch 286, Val Loss: 1.52526
Epoch 287, Val Loss: 1.53065
Epoch 288, Val Loss: 1.52608
Epoch 289, Val Loss: 1.52714
Epoch 290, Val Loss: 1.52263
Epoch 291, Val Loss: 1.52370
Epoch 292, Val Loss: 1.52129
Epoch 293, Val Loss: 1.52263
Epoch 294, Val Loss: 1.52328
Epoch 295, Val Loss: 1.52376
Epoch 296, Val Loss: 1.52436
Epoch 297, Val Loss: 1.52292
Epoch 298, Val Loss: 1.52301
Epoch 299, Val Loss: 1.52320
Epoch 300, Val Loss: 1.52478
Epoch 301, Val Loss: 1.52478
Epoch 302, Val Loss: 1.52414
Epoch 303, Val Loss: 1.52796
Epoch 304, Val Loss: 1.52448
Epoch 305, Val Loss: 1.53031
Epoch 306, Val Loss: 1.52214
Epoch 307, Val Loss: 1.52251
Epoch 308, Val Loss: 1.52459
Epoch 309, Val Loss: 1.52239
Epoch 310, Val Loss: 1.52628
Epoch 311, Val Loss: 1.52045
Epoch 312, Val Loss: 1.51972
Epoch 313, Val Loss: 1.51926
Epoch 314, Val Loss: 1.51992
Epoch 315, Val Loss: 1.52075
Epoch 316, Val Loss: 1.52062
Epoch 317, Val Loss: 1.52530
Epoch 318, Val Loss: 1.52228
Epoch 319, Val Loss: 1.52288
Epoch 320, Val Loss: 1.52083
Epoch 321, Val Loss: 1.51951
Epoch 322, Val Loss: 1.52010
Epoch 323, Val Loss: 1.52621
Epoch 324, Val Loss: 1.52613
Epoch 325, Val Loss: 1.52432
Epoch 326, Val Loss: 1.52867
Epoch 327, Val Loss: 1.52467
Epoch 328, Val Loss: 1.52310
Epoch 329, Val Loss: 1.52337
Epoch 330, Val Loss: 1.52347
Epoch 331, Val Loss: 1.52240
Epoch 332, Val Loss: 1.52328
Epoch 333, Val Loss: 1.52233
Epoch 334, Val Loss: 1.52274
Epoch 335, Val Loss: 1.52493
Epoch 336, Val Loss: 1.52366
Epoch 337, Val Loss: 1.52395
Epoch 338, Val Loss: 1.52017
Epoch 339, Val Loss: 1.51903
Epoch 340, Val Loss: 1.51858
Epoch 341, Val Loss: 1.51920
Epoch 342, Val Loss: 1.52219
Epoch 343, Val Loss: 1.51910
Epoch 344, Val Loss: 1.51883
Epoch 345, Val Loss: 1.51759
Epoch 346, Val Loss: 1.51679
Epoch 347, Val Loss: 1.51832
Epoch 348, Val Loss: 1.51887
Epoch 349, Val Loss: 1.52039
Epoch 350, Val Loss: 1.51906
Epoch 351, Val Loss: 1.52157
Epoch 352, Val Loss: 1.51795
Epoch 353, Val Loss: 1.51648
Epoch 354, Val Loss: 1.51623
Epoch 355, Val Loss: 1.51632
Epoch 356, Val Loss: 1.51575
Epoch 357, Val Loss: 1.51607
Epoch 358, Val Loss: 1.51744
Epoch 359, Val Loss: 1.51883
Epoch 360, Val Loss: 1.52117
Epoch 361, Val Loss: 1.51922
Epoch 362, Val Loss: 1.51797
Epoch 363, Val Loss: 1.51754
Epoch 364, Val Loss: 1.51821
Epoch 365, Val Loss: 1.51923
Epoch 366, Val Loss: 1.52122
Epoch 367, Val Loss: 1.52031
Epoch 368, Val Loss: 1.52035
Epoch 369, Val Loss: 1.52172
Epoch 370, Val Loss: 1.51635
Epoch 371, Val Loss: 1.51945
Epoch 372, Val Loss: 1.52006
Epoch 373, Val Loss: 1.51926
Epoch 374, Val Loss: 1.51490
Epoch 375, Val Loss: 1.52183
Epoch 376, Val Loss: 1.51791
Epoch 377, Val Loss: 1.51756
Epoch 378, Val Loss: 1.52204
Epoch 379, Val Loss: 1.52084
Epoch 380, Val Loss: 1.51969
Epoch 381, Val Loss: 1.51897
Epoch 382, Val Loss: 1.51754
Epoch 383, Val Loss: 1.51775
Epoch 384, Val Loss: 1.51899
Epoch 385, Val Loss: 1.51675
Epoch 386, Val Loss: 1.51605
Epoch 387, Val Loss: 1.51668
Epoch 388, Val Loss: 1.51541
Epoch 389, Val Loss: 1.51736
Epoch 390, Val Loss: 1.51597
Epoch 391, Val Loss: 1.51393
Epoch 392, Val Loss: 1.51642
Epoch 393, Val Loss: 1.52269
Epoch 394, Val Loss: 1.52972
Epoch 395, Val Loss: 1.52246
Epoch 396, Val Loss: 1.52057
Epoch 397, Val Loss: 1.51589
Epoch 398, Val Loss: 1.52104
Epoch 399, Val Loss: 1.51411
{'Log Loss - mean': 3.8480992012334583, 'Log Loss - std': 0.0, 'AUC - mean': 0.48833209909789493, 'AUC - std': 0.0, 'Accuracy - mean': 0.731323631920002, 'Accuracy - std': 0.0, 'F1 score - mean': 0.6779832886221615, 'F1 score - std': 0.0}
On Device: cuda
Epoch 0, Val Loss: 1.80757
Epoch 1, Val Loss: 1.71627
Epoch 2, Val Loss: 1.69817
Epoch 3, Val Loss: 1.67893
Epoch 4, Val Loss: 1.64324
Epoch 5, Val Loss: 1.61613
Epoch 6, Val Loss: 1.59849
Epoch 7, Val Loss: 1.58941
Epoch 8, Val Loss: 1.56520
Epoch 9, Val Loss: 1.50517
Epoch 10, Val Loss: 1.47417
Epoch 11, Val Loss: 1.46772
Epoch 12, Val Loss: 1.46492
Epoch 13, Val Loss: 1.46239
Epoch 14, Val Loss: 1.46157
Epoch 15, Val Loss: 1.46067
Epoch 16, Val Loss: 1.45878
Epoch 17, Val Loss: 1.45868
Epoch 18, Val Loss: 1.45800
Epoch 19, Val Loss: 1.45661
Epoch 20, Val Loss: 1.45544
Epoch 21, Val Loss: 1.45727
Epoch 22, Val Loss: 1.45383
Epoch 23, Val Loss: 1.45321
Epoch 24, Val Loss: 1.45257
Epoch 25, Val Loss: 1.45116
Epoch 26, Val Loss: 1.45125
Epoch 27, Val Loss: 1.45086
Epoch 28, Val Loss: 1.44933
Epoch 29, Val Loss: 1.44977
Epoch 30, Val Loss: 1.44813
Epoch 31, Val Loss: 1.44935
Epoch 32, Val Loss: 1.44726
Epoch 33, Val Loss: 1.44944
Epoch 34, Val Loss: 1.44627
Epoch 35, Val Loss: 1.44745
Epoch 36, Val Loss: 1.44547
Epoch 37, Val Loss: 1.44694
Epoch 38, Val Loss: 1.44431
Epoch 39, Val Loss: 1.44598
Epoch 40, Val Loss: 1.44375
Epoch 41, Val Loss: 1.44569
Epoch 42, Val Loss: 1.44290
Epoch 43, Val Loss: 1.44443
Epoch 44, Val Loss: 1.44232
Epoch 45, Val Loss: 1.44389
Epoch 46, Val Loss: 1.44155
Epoch 47, Val Loss: 1.44273
Epoch 48, Val Loss: 1.44115
Epoch 49, Val Loss: 1.44204
Epoch 50, Val Loss: 1.44042
Epoch 51, Val Loss: 1.44144
Epoch 52, Val Loss: 1.43960
Epoch 53, Val Loss: 1.44052
Epoch 54, Val Loss: 1.43929
Epoch 55, Val Loss: 1.43992
Epoch 56, Val Loss: 1.43896
Epoch 57, Val Loss: 1.43937
Epoch 58, Val Loss: 1.43849
Epoch 59, Val Loss: 1.43869
Epoch 60, Val Loss: 1.43786
Epoch 61, Val Loss: 1.43817
Epoch 62, Val Loss: 1.43753
Epoch 63, Val Loss: 1.43791
Epoch 64, Val Loss: 1.43669
Epoch 65, Val Loss: 1.43788
Epoch 66, Val Loss: 1.43617
Epoch 67, Val Loss: 1.43723
Epoch 68, Val Loss: 1.43600
Epoch 69, Val Loss: 1.43741
Epoch 70, Val Loss: 1.43549
Epoch 71, Val Loss: 1.43688
Epoch 72, Val Loss: 1.43524
Epoch 73, Val Loss: 1.43656
Epoch 74, Val Loss: 1.43495
Epoch 75, Val Loss: 1.43627
Epoch 76, Val Loss: 1.43447
Epoch 77, Val Loss: 1.43701
Epoch 78, Val Loss: 1.43385
Epoch 79, Val Loss: 1.43660
Epoch 80, Val Loss: 1.43437
Epoch 81, Val Loss: 1.43556
Epoch 82, Val Loss: 1.43373
Epoch 83, Val Loss: 1.43543
Epoch 84, Val Loss: 1.43280
Epoch 85, Val Loss: 1.43423
Epoch 86, Val Loss: 1.43288
Epoch 87, Val Loss: 1.43394
Epoch 88, Val Loss: 1.43323
Epoch 89, Val Loss: 1.43408
Epoch 90, Val Loss: 1.43264
Epoch 91, Val Loss: 1.43317
Epoch 92, Val Loss: 1.43226
Epoch 93, Val Loss: 1.43258
Epoch 94, Val Loss: 1.43243
Epoch 95, Val Loss: 1.43294
Epoch 96, Val Loss: 1.43299
Epoch 97, Val Loss: 1.43261
Epoch 98, Val Loss: 1.43171
Epoch 99, Val Loss: 1.43137
Epoch 100, Val Loss: 1.43064
Epoch 101, Val Loss: 1.43054
Epoch 102, Val Loss: 1.43075
Epoch 103, Val Loss: 1.43034
Epoch 104, Val Loss: 1.43097
Epoch 105, Val Loss: 1.43116
Epoch 106, Val Loss: 1.43132
Epoch 107, Val Loss: 1.43143
Epoch 108, Val Loss: 1.43106
Epoch 109, Val Loss: 1.42918
Epoch 110, Val Loss: 1.42869
Epoch 111, Val Loss: 1.42933
Epoch 112, Val Loss: 1.42957
Epoch 113, Val Loss: 1.43030
Epoch 114, Val Loss: 1.43155
Epoch 115, Val Loss: 1.43224
Epoch 116, Val Loss: 1.43448
Epoch 117, Val Loss: 1.43263
Epoch 118, Val Loss: 1.43387
Epoch 119, Val Loss: 1.42965
Epoch 120, Val Loss: 1.43130
Epoch 121, Val Loss: 1.43198
Epoch 122, Val Loss: 1.43043
Epoch 123, Val Loss: 1.42931
Epoch 124, Val Loss: 1.43031
Epoch 125, Val Loss: 1.42773
Epoch 126, Val Loss: 1.42716
Epoch 127, Val Loss: 1.42789
Epoch 128, Val Loss: 1.42914
Epoch 129, Val Loss: 1.42767
Epoch 130, Val Loss: 1.43136
Epoch 131, Val Loss: 1.43244
Epoch 132, Val Loss: 1.42996
Epoch 133, Val Loss: 1.43358
Epoch 134, Val Loss: 1.42865
Epoch 135, Val Loss: 1.42836
Epoch 136, Val Loss: 1.43456
Epoch 137, Val Loss: 1.43384
Epoch 138, Val Loss: 1.42776
Epoch 139, Val Loss: 1.43354
Epoch 140, Val Loss: 1.43071
Epoch 141, Val Loss: 1.42757
Epoch 142, Val Loss: 1.43153
Epoch 143, Val Loss: 1.42814
Epoch 144, Val Loss: 1.42823
Epoch 145, Val Loss: 1.42926
Epoch 146, Val Loss: 1.42773
Epoch 147, Val Loss: 1.42788
Epoch 148, Val Loss: 1.43040
Epoch 149, Val Loss: 1.42911
Epoch 150, Val Loss: 1.42706
Epoch 151, Val Loss: 1.42913
Epoch 152, Val Loss: 1.42577
Epoch 153, Val Loss: 1.42752
Epoch 154, Val Loss: 1.42796
Epoch 155, Val Loss: 1.42928
Epoch 156, Val Loss: 1.42733
Epoch 157, Val Loss: 1.42845
Epoch 158, Val Loss: 1.42609
Epoch 159, Val Loss: 1.42631
Epoch 160, Val Loss: 1.42636
Epoch 161, Val Loss: 1.42803
Epoch 162, Val Loss: 1.42774
Epoch 163, Val Loss: 1.42753
Epoch 164, Val Loss: 1.42579
Epoch 165, Val Loss: 1.42390
Epoch 166, Val Loss: 1.42113
Epoch 167, Val Loss: 1.42719
Epoch 168, Val Loss: 1.42707
Epoch 169, Val Loss: 1.42720
Epoch 170, Val Loss: 1.42504
Epoch 171, Val Loss: 1.42390
Epoch 172, Val Loss: 1.42218
Epoch 173, Val Loss: 1.42203
Epoch 174, Val Loss: 1.42452
Epoch 175, Val Loss: 1.42065
Epoch 176, Val Loss: 1.42006
Epoch 177, Val Loss: 1.42019
Epoch 178, Val Loss: 1.42277
Epoch 179, Val Loss: 1.42291
Epoch 180, Val Loss: 1.41978
Epoch 181, Val Loss: 1.41771
Epoch 182, Val Loss: 1.41774
Epoch 183, Val Loss: 1.41783
Epoch 184, Val Loss: 1.41794
Epoch 185, Val Loss: 1.41822
Epoch 186, Val Loss: 1.41809
Epoch 187, Val Loss: 1.41794
Epoch 188, Val Loss: 1.41872
Epoch 189, Val Loss: 1.42102
Epoch 190, Val Loss: 1.41845
Epoch 191, Val Loss: 1.41710
Epoch 192, Val Loss: 1.41849
Epoch 193, Val Loss: 1.41588
Epoch 194, Val Loss: 1.41701
Epoch 195, Val Loss: 1.42007
Epoch 196, Val Loss: 1.41689
Epoch 197, Val Loss: 1.41583
Epoch 198, Val Loss: 1.41704
Epoch 199, Val Loss: 1.41673
Epoch 200, Val Loss: 1.41787
Epoch 201, Val Loss: 1.41835
Epoch 202, Val Loss: 1.41632
Epoch 203, Val Loss: 1.41573
Epoch 204, Val Loss: 1.41606
Epoch 205, Val Loss: 1.41899
Epoch 206, Val Loss: 1.41701
Epoch 207, Val Loss: 1.41579
Epoch 208, Val Loss: 1.41697
Epoch 209, Val Loss: 1.41755
Epoch 210, Val Loss: 1.41669
Epoch 211, Val Loss: 1.42017
Epoch 212, Val Loss: 1.41568
Epoch 213, Val Loss: 1.41429
Epoch 214, Val Loss: 1.41501
Epoch 215, Val Loss: 1.41702
Epoch 216, Val Loss: 1.41694
Epoch 217, Val Loss: 1.41713
Epoch 218, Val Loss: 1.41636
Epoch 219, Val Loss: 1.41645
Epoch 220, Val Loss: 1.41702
Epoch 221, Val Loss: 1.41695
Epoch 222, Val Loss: 1.41588
Epoch 223, Val Loss: 1.41755
Epoch 224, Val Loss: 1.41614
Epoch 225, Val Loss: 1.41600
Epoch 226, Val Loss: 1.42068
Epoch 227, Val Loss: 1.41528
Epoch 228, Val Loss: 1.41396
Epoch 229, Val Loss: 1.41724
Epoch 230, Val Loss: 1.41664
Epoch 231, Val Loss: 1.41611
Epoch 232, Val Loss: 1.41472
Epoch 233, Val Loss: 1.41566
Epoch 234, Val Loss: 1.41674
Epoch 235, Val Loss: 1.41438
Epoch 236, Val Loss: 1.41245
Epoch 237, Val Loss: 1.41611
Epoch 238, Val Loss: 1.41547
Epoch 239, Val Loss: 1.41337
Epoch 240, Val Loss: 1.41679
Epoch 241, Val Loss: 1.41570
Epoch 242, Val Loss: 1.41292
Epoch 243, Val Loss: 1.41631
Epoch 244, Val Loss: 1.41456
Epoch 245, Val Loss: 1.41595
Epoch 246, Val Loss: 1.41271
Epoch 247, Val Loss: 1.41518
Epoch 248, Val Loss: 1.42029
Epoch 249, Val Loss: 1.41511
Epoch 250, Val Loss: 1.41410
Epoch 251, Val Loss: 1.41790
Epoch 252, Val Loss: 1.41620
Epoch 253, Val Loss: 1.41221
Epoch 254, Val Loss: 1.41583
Epoch 255, Val Loss: 1.41531
Epoch 256, Val Loss: 1.41773
Epoch 257, Val Loss: 1.41251
Epoch 258, Val Loss: 1.41378
Epoch 259, Val Loss: 1.41154
Epoch 260, Val Loss: 1.41212
Epoch 261, Val Loss: 1.41088
Epoch 262, Val Loss: 1.41297
Epoch 263, Val Loss: 1.41355
Epoch 264, Val Loss: 1.41616
Epoch 265, Val Loss: 1.41079
Epoch 266, Val Loss: 1.41192
Epoch 267, Val Loss: 1.40955
Epoch 268, Val Loss: 1.41231
Epoch 269, Val Loss: 1.40986
Epoch 270, Val Loss: 1.41520
Epoch 271, Val Loss: 1.41021
Epoch 272, Val Loss: 1.41149
Epoch 273, Val Loss: 1.40962
Epoch 274, Val Loss: 1.41219
Epoch 275, Val Loss: 1.41024
Epoch 276, Val Loss: 1.41326
Epoch 277, Val Loss: 1.40976
Epoch 278, Val Loss: 1.41526
Epoch 279, Val Loss: 1.40991
Epoch 280, Val Loss: 1.41115
Epoch 281, Val Loss: 1.40980
Epoch 282, Val Loss: 1.41260
Epoch 283, Val Loss: 1.40975
Epoch 284, Val Loss: 1.41250
Epoch 285, Val Loss: 1.40919
Epoch 286, Val Loss: 1.41063
Epoch 287, Val Loss: 1.40982
Epoch 288, Val Loss: 1.41317
Epoch 289, Val Loss: 1.41111
Epoch 290, Val Loss: 1.41340
Epoch 291, Val Loss: 1.40998
Epoch 292, Val Loss: 1.41210
Epoch 293, Val Loss: 1.41065
Epoch 294, Val Loss: 1.41240
Epoch 295, Val Loss: 1.41007
Epoch 296, Val Loss: 1.41200
Epoch 297, Val Loss: 1.41002
Epoch 298, Val Loss: 1.41047
Epoch 299, Val Loss: 1.40918
Epoch 300, Val Loss: 1.41200
